KRX코드,YTD수익률,1년수익률,시작일_YTD,시작일_1년,기준일자
102960,0.11,15.3,20260102,20250807,20260806
404260,37.37,75.86,20260102,20250807,20260806
273140,-0.07,-0.08,20260102,20250807,20260806
153130,-0.14,-0.43,20260102,20250807,20260806
214980,-0.21,-0.42,20260102,20250807,20260806
487950,29.55,30.66,20260102,20250807,20260806
122630,82.05,265.44,20260102,20250807,20260806
445290,14.06,83.93,20260102,20250807,20260806
488770,1.91,1.6,20260102,20250807,20260806
321410,1.48,4.42,20260102,20250807,20260806
337120,49.53,106.21,20260102,20250807,20260806
401470,14.02,17.46,20260102,20250807,20260806
244620,23.61,26.99,20260102,20250807,20260806
275280,55.13,103.26,20260102,20250807,20260806
308620,-2.65,1.23,20260102,20250807,20260806
0091C0,-3.79,,20260102,20250807,20260806
484790,-5.62,-7.25,20260102,20250807,20260806
304660,-3.36,-3.62,20260102,20250807,20260806
304670,4.08,3.2,20260102,20250807,20260806
481060,-9.63,-13.48,20260102,20250807,20260806
0041D0,-15.5,-7.41,20260102,20250807,20260806
487230,26.21,20.85,20260102,20250807,20260806
485540,5.73,23.69,20260102,20250807,20260806
483280,-2.8,6.61,20260102,20250807,20260806
428560,-6.1,-9.59,20260102,20250807,20260806
379800,9.67,23.8,20260102,20250807,20260806
449180,10.64,18.71,20260102,20250807,20260806
453660,-3.1,8.79,20260102,20250807,20260806
453650,3.45,14.49,20260102,20250807,20260806
0005A0,0.56,6.96,20260102,20250807,20260806
276970,1.76,1.17,20260102,20250807,20260806
0026E0,8.91,18.97,20260102,20250807,20260806
0068M0,4.75,16.01,20260102,20250807,20260806
0089C0,7.04,,20260102,20250807,20260806
200030,17.15,25.85,20260102,20250807,20260806
219480,11.08,18.1,20260102,20250807,20260806
0041E0,20.14,39.63,20260102,20250807,20260806
218420,26.09,39.55,20260102,20250807,20260806
463640,0.0,4.71,20260102,20250807,20260806
463690,-7.0,6.99,20260102,20250807,20260806
463680,24.07,42.67,20260102,20250807,20260806
453630,7.36,6.82,20260102,20250807,20260806
453640,3.25,28.62,20260102,20250807,20260806
185680,20.7,80.76,20260102,20250807,20260806
0028X0,-2.28,2.65,20260102,20250807,20260806
379810,13.39,28.75,20260102,20250807,20260806
449190,13.57,22.43,20260102,20250807,20260806
494300,-6.44,-1.68,20260102,20250807,20260806
409820,25.98,44.1,20260102,20250807,20260806
304940,13.71,21.17,20260102,20250807,20260806
409810,-12.97,-19.2,20260102,20250807,20260806
411420,40.27,52.22,20260102,20250807,20260806
455030,-1.61,2.57,20260102,20250807,20260806
261240,0.34,5.47,20260102,20250807,20260806
261250,-1.37,8.87,20260102,20250807,20260806
261270,1.09,-3.56,20260102,20250807,20260806
261260,0.1,-10.04,20260102,20250807,20260806
0144M0,-15.44,,20260102,20250807,20260806
280930,18.54,30.37,20260102,20250807,20260806
0048J0,-1.52,2.75,20260102,20250807,20260806
390390,52.67,101.28,20260102,20250807,20260806
489250,20.14,29.89,20260102,20250807,20260806
483290,12.13,16.48,20260102,20250807,20260806
441640,4.29,11.69,20260102,20250807,20260806
352560,9.58,6.65,20260102,20250807,20260806
314250,12.73,16.13,20260102,20250807,20260806
473460,-1.78,12.75,20260102,20250807,20260806
0144L0,1.12,,20260102,20250807,20260806
390400,10.19,26.35,20260102,20250807,20260806
0132H0,-10.94,,20260102,20250807,20260806
437080,-3.46,-4.11,20260102,20250807,20260806
419420,11.44,51.75,20260102,20250807,20260806
491090,11.13,32.74,20260102,20250807,20260806
0038A0,-0.51,18.64,20260102,20250807,20260806
244580,-29.9,-6.65,20260102,20250807,20260806
091160,69.59,202.41,20260102,20250807,20260806
494310,79.14,432.53,20260102,20250807,20260806
0080G0,6.08,2.63,20260102,20250807,20260806
0100K0,-17.21,,20260102,20250807,20260806
325020,43.82,70.64,20260102,20250807,20260806
244670,9.76,14.4,20260102,20250807,20260806
140700,47.83,63.71,20260102,20250807,20260806
102780,67.13,136.28,20260102,20250807,20260806
213610,58.66,116.01,20260102,20250807,20260806
448330,21.98,45.22,20260102,20250807,20260806
325010,55.73,122.76,20260102,20250807,20260806
385510,23.93,37.93,20260102,20250807,20260806
446690,90.28,213.14,20260102,20250807,20260806
437070,-3.75,0.69,20260102,20250807,20260806
117460,4.15,11.75,20260102,20250807,20260806
275300,65.55,164.22,20260102,20250807,20260806
140710,10.59,5.37,20260102,20250807,20260806
0098F0,37.64,,20260102,20250807,20260806
395150,-38.69,-44.44,20260102,20250807,20260806
456250,-15.83,1.83,20260102,20250807,20260806
400570,-6.74,11.27,20260102,20250807,20260806
144600,-19.3,51.65,20260102,20250807,20260806
091170,28.08,36.0,20260102,20250807,20260806
453810,-13.78,-5.51,20260102,20250807,20260806
453820,-26.93,-17.53,20260102,20250807,20260806
0000H0,-4.02,5.95,20260102,20250807,20260806
477730,-10.74,-4.32,20260102,20250807,20260806
114800,-52.16,-67.37,20260102,20250807,20260806
101280,14.07,32.42,20260102,20250807,20260806
352540,-11.66,-6.9,20260102,20250807,20260806
091180,17.13,50.68,20260102,20250807,20260806
385520,33.2,86.08,20260102,20250807,20260806
363570,-9.47,-15.62,20260102,20250807,20260806
0115D0,-6.95,,20260102,20250807,20260806
273130,-3.96,-7.61,20260102,20250807,20260806
102970,21.91,45.32,20260102,20250807,20260806
419430,-8.21,39.44,20260102,20250807,20260806
169950,-0.72,16.97,20260102,20250807,20260806
428510,45.19,85.23,20260102,20250807,20260806
283580,-1.62,22.82,20260102,20250807,20260806
099140,-9.17,-2.63,20260102,20250807,20260806
204450,-19.28,-18.15,20260102,20250807,20260806
415340,28.15,74.08,20260102,20250807,20260806
256750,10.73,62.58,20260102,20250807,20260806
0065G0,-16.12,-6.58,20260102,20250807,20260806
372330,-17.97,-10.95,20260102,20250807,20260806
0048K0,-21.53,-4.81,20260102,20250807,20260806
117680,-4.06,1.97,20260102,20250807,20260806
279540,30.82,61.31,20260102,20250807,20260806
445150,-1.52,1.74,20260102,20250807,20260806
211900,29.17,43.45,20260102,20250807,20260806
237370,7.77,9.64,20260102,20250807,20260806
495850,66.83,142.27,20260102,20250807,20260806
